"Date","Description","Tags"
"6097.3.04.4","[[William of Rose Hill]] born.",""
"6113.2.13.7","[[Boris Waxwood]] born.",""
"6106.1.07.1","[[Society of Lakes and Seas (LacMar)]] begins operations.",""
"6110.3.04.1","[[Viridis]] begins operations.",""
"6112.1.01.1","[[Society of Energy and Light (SEL)]] begins operations.",""
"6113.2.13.7","[[Boris Waxwood]] born.",""
"6113.2.03.7","[[Mullox Oberforce]] born.",""
"6114.1.04.7","[[John Welcome Meffitson]] born.",""
"6119.1.10.7","[[Claud of Rose Hill]] born.",""
"6120.3.07.1","The [[Monster Sports Federation]] begins operations.",""
"6123","The [[Monster Sports Federation]] conducts its first season of organized monster competition.",""
"6126","[[Odyss Mackway]] born.",""
"6193.320","[[Mullox Oberforce]] dies of natural causes.",""
"6000.1.03.4","The [[Great Agreement]] is ratified by the major nations of [[Erebis]].",""
"6000.1.09.4","The [[Great Agreement]] is ratified by the major nations of [[Asis]].",""
"6001.1.01.2","The [[Great Agreement]] is ratified by the major nations of [[Pluralis]].",""
